Date;Component;Affiliate Name;Class Name;Result;Is Personal Record;Personal Record Description;Performance Result Type;Comment;From Weightlifting Total
12/22/2017;Power Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 2 @ 35 kg;TRUE;PR by 5 kg vs. 30 on 11/15/2017;Weight;;FALSE
12/22/2017;Power Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;4 x 31 @ 20 kg;FALSE;;Weight;;FALSE
12/22/2017;Power clean + Hang clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 42.5 kg;FALSE;;Weight;;FALSE
12/22/2017;Muscle Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 2 @ 30 kg;FALSE;;Weight;;FALSE
12/04/2017;Deadlift;CrossFit Sudurnes;16:30 CrossFit;1 x 1 @ 102.5 kg;TRUE;PR by 17.5 kg vs. 85 on 11/28/2017;Weight;;FALSE
12/01/2017;Bench Press m. handlóð;CrossFit Sudurnes;12:00 CrossFit;4 x 10 @ 10 kg;FALSE;;Weight;;FALSE
11/30/2017;Front Squat;CrossFit Sudurnes;18:30 CrossFit;1 x 3 @ 52.5 kg;FALSE;;Weight;;FALSE
11/30/2017;Front Squat;CrossFit Sudurnes;18:30 CrossFit;2 x 5 @ 40 kg;FALSE;;Weight;;FALSE
11/29/2017;Power Clean + Split Jerk;CrossFit Sudurnes;19:30 Ólympískar lyftingar;4 x 1 @ 40 kg;FALSE;;Weight;;FALSE
11/29/2017;Snatch Pull + Hang Snatch + Overhead Squat;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 25 kg;FALSE;;Weight;;FALSE
11/28/2017;Deadlift;CrossFit Sudurnes;12:00 CrossFit;4 x 4 @ 85 kg;TRUE;PR by 15 kg vs. 70 on 11/21/2017;Weight;;FALSE
11/22/2017;Clean;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 11 @ 32.5 kg;FALSE;;Weight;;FALSE
11/22/2017;Clean;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 55 kg;TRUE;PR by 10 kg vs. 45 on 11/10/2017;Weight;;FALSE
11/22/2017;Power Clean + Push Press + 1 Push Jerk;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 35 kg;FALSE;;Weight;;FALSE
